Moisture,Ash ,GCV
9.23,20.79,3290
8.82,26.35,4710
9.38,24.91,4770
9.42,14.52,5600
8.77,16.73,5595
8.33,15.57,5605
8.88,26.17,4710
8.37,17.17,5495
9.25,23.28,5000
8.89,10.36,6115
9.62,22.97,4795
8.26,18.8,5395
8.18,19.95,5335
9.06,23.82,4905
8.26,38.88,3710
9.26,20.93,5065
8.66,30.14,4450
8.54,22.21,5170
8.06,28.85,4640
8.5,25.46,4890
9.76,22.4,5115
9.08,15.23,5770
9.08,28.26,4645
8.97,18.29,5440
9.33,21.67,5040
8.99,20.32,5290
9.66,22.14,5085
8.74,18.99,5435
9.46,13.18,5900
8.92,16.12,6160
8.51,21.66,5015
6.94,35.22,4165
7.45,33.21,4275
8.23,26.02,5165
8.88,26.91,4755
7.83,27.35,4765
8,30.36,4600
7.97,32.73,4370
8.87,16.66,4550
4.96,57.23,2475
9.47,22.86,4955
8.17,26.73,4805
8.55,21.36,5165
9.18,34.3,3835
8.71,16.39,5515
8.66,21.72,5045
8.16,28.5,4510
7.5,30.16,4630
7.25,30.09,4515
9.25,11.27,5995
8.1,28.75,4575
8.76,22.87,5185
7.77,27.39,4810
8.54,26.66,4830
8.16,29.45,4555
6.4,41.26,3740
8.89,28.76,4495
5.56,51.86,3170
7.28,49.59,2755
4.85,59.36,2325
7.77,29.22,4635
7.33,41.35,3455
8.67,17.63,5515
5.86,38.74,3915
7.94,22.49,5255
8.95,20.67,5375
6.29,38.2,4025
6.17,37.37,3980
7.57,17.53,5625
4.81,50.59,3030
5.14,41.35,3835
5.15,43.89,3620
5.32,43.85,3625
3.87,59.54,2355
8.2,21.93,5205
6.78,25.44,5060
7.61,35.11,3920
6.93,42.1,3420
7.55,30.13,4510
6.26,34.91,4190
6.51,36.74,4125
7.4,28.2,4780
7.3,32.61,4415
7.35,29.23,4535
5.44,40.53,3735
7.29,31.66,4455
6.51,36.32,4170
8.11,25.73,4890
7.49,28.27,4640
5.26,37.53,4045
6.8,34.34,4265
7.97,23.1,5080
7.43,32.35,4245
7.11,30.63,4565
7.44,30.1,4610
7.56,26.22,4895
8.24,16.46,5625
7.13,39.63,3555
7.36,31.01,4470
7.49,31.46,4475
6.94,33.75,4335
4.71,53.7,2940
5.83,41.31,3700
7.27,41.86,3410
7.02,33.86,4250
6.95,35.17,4160
7.71,22.18,5085
7.92,22.95,5100
7.33,24.44,5020
6.28,23.13,5150
4.81,47.77,3225
6.5,30.47,4535
4.51,50.17,3145
4.26,54.33,2840
5.5,41.5,3785
5.18,38.12,4015
4.16,58.15,2395
4.95,44.39,3675
4.32,52.94,2925
7.42,19.06,5545
6.89,31.24,4990
7.22,26.74,4900
7.29,26.79,4775
7.48,20.86,4270
4.77,44.58,3550
7.32,27.92,4630
4.69,51.79,2995
6.83,41.77,3485
4.78,44.47,3530
6.77,32.88,4295
6.9,30.54,4675
6.56,35.07,4270
6.73,33.85,4245
7.16,29.52,4570
8.05,18.48,5475
8.17,19.31,5455
7.35,28.2,4885
6.46,37.12,4285
7.06,26.11,4960
7.69,28.81,4755
6.79,35.04,4175
6.53,32.91,4390
7.24,28.01,4725
7.25,31.53,4455
